"Symbol","ISIN","Issue Price","Maturity Date","Years To Maturity","Interest Date 1","Interest Date 2","Interest Payable","Interest Value","No of Remaining Interest Payments","Total Remaining Interest","Present Value of Future Interest Payments","Fair Value","Ask Price","Average Trading Volume","Discount to Fair Value","Discount to Gold Price","Total Yield to Maturity"
"SGBJUL27","IN0020190081",3443,"7/16/2027",4.316780396182141,"July16","January16",2.5,43.0375,8,344.3,302.11000260713337,6166.1100026071335,5500,0.5314285714285715,0.10802758989468096,0.06207366984993179,0.028459809718469176
"SGBFEB28IX","IN0020190545",4070,"2/11/2028",4.892122871448503,"February11","August11",2.5,50.875,10,508.75,433.9740693209706,6297.974069320971,5469,2.2,0.13162551325181118,0.06736016371077763,0.03175531565287293
"SGBSEP28VI","IN0020200195",5117,"9/8/2028",5.467465340277778,"September8","March8",2.5,63.9625,10,639.625,545.6130989472744,6409.613098947274,5465,18.99285714285714,0.14737443342756817,0.06804229195088676,0.03233560470649577
"SGBNOV25IX","IN0020170117",2964,"11/27/2025",2.683903693271182,"November27","May27",2.5,37.05,6,222.3,200.70694299568703,6064.706942995687,5993.08,0.8457142857142858,0.01181045410255338,-0.02201227830832195,0.005767472546524655
"SGBMAY26","IN0020180033",3114,"5/4/2026",3.1167804088026383,"May4","November4",2.5,38.925,6,233.55,210.86417695295864,6074.864176952959,6018,8.370000000000001,0.009360567626958966,-0.02626193724420191,0.00422223419623502
"SGBFEB27","IN0020180561",3326,"2/12/2027",3.894862584760274,"February12","August12",2.5,41.575,8,332.6,291.84370277993776,6155.843702779937,5481,0.32857142857142857,0.10962651674784765,0.06531377899045021,0.03200800425417971
"SGBOCT27VI","IN0020190388",3835,"10/30/2027",4.607191367611619,"October30","April30",2.5,47.9375,10,479.375,408.9165984879416,6272.916598487942,5471,1.8314285714285712,0.12783791811949807,0.06701909959072305,0.03263391959286266
"SGBMAR28X","IN0020190552",4260,"3/11/2028",4.9715749198376455,"March11","September11",2.5,53.25,10,532.5,454.23330105831326,6318.233301058313,5428.3,13.778571428571427,0.14085160497464505,0.0743008185538881,0.03356363319238187
"SGBAPR28I","IN0020200062",4639,"4/28/2028",5.103081775558092,"April28","October28",2.5,57.9875,10,579.875,494.64513699753877,6358.645136997538,5500,12.184285714285712,0.13503586353664304,0.06207366984993179,0.03152318966813983
"SGBAUG28V","IN0020200161",5334,"8/11/2028",5.390753008403095,"August11","February11",2.5,66.675,10,666.75,568.7512741420288,6432.751274142029,5480,125.08285714285714,0.14810945325553604,0.06548431105047749,0.03307551952477783
"SGBN28VIII","IN0020200286",5177,"11/18/2028",5.661985885147134,"November18","May18",2.5,64.7125,12,776.55,644.1484834337416,6508.148483433742,5475,12.907142857142857,0.15874691336001076,0.06633697135061392,0.03467505859608733
"SGBMAY29I","IN0020210053",4777,"5/25/2029",6.177054362189244,"May25","November25",2.5,59.7125,12,716.55,594.3784634659037,6458.378463465904,5450,73.19000000000001,0.15613492909561627,0.07060027285129604,0.03098700807073196
"SGBJUL29IV","IN0020210111",4807,"7/20/2029",6.330479019913749,"July20","January20",2.5,60.0875,12,721.05,598.1112149634915,6462.111214963492,5450,21.027142857142856,0.15662237638681833,0.07060027285129604,0.030336031008143083
"SGBAUG29V","IN0020210129",4790,"8/17/2029",6.40719135511796,"August17","February17",2.5,59.875,12,718.5,595.9959891148585,6459.995989114858,5451,15.845714285714283,0.15619142656048457,0.07042974079126876,0.029875683305897738
"SGBSEP29VI","IN0020210145",4732,"9/7/2029",6.464725578925672,"September7","March7",2.5,59.15,12,709.8,588.779336219522,6452.779336219522,5448.04,17.92142857142857,0.15570644583798313,0.07093451568894953,0.029481777994788683
"SGBNV29VII","IN0020210178",4761,"11/2/2029",6.618150249746321,"November2","May2",2.5,59.5125,14,833.175,672.2575527073149,6536.257552707315,5450,160.80714285714288,0.1661895272559123,0.07060027285129604,0.031626958437932506
"SGBSEP27","IN0020190115",3890,"9/17/2027",4.4893831294393705,"September17","March17",2.5,48.625,8,389,341.33253271616286,6205.332532716163,5544,1.8699999999999999,0.10657487398611468,0.054570259208731244,0.027169126503111096
"SGBDC27VII","IN0020190461",3795,"12/10/2027",4.7195201156456115,"December10","June10",2.5,47.4375,10,474.375,404.6514970695537,6268.651497069553,5555,0.12571428571428572,0.11384450027301225,0.052694406548431105,0.028347189188950184
"SGBJAN30IX","IN0020210236",4786,"1/18/2030",6.829109156773211,"January18","July18",2.5,59.825,14,837.55,675.7875755633709,6539.78757556337,5480,18.06714285714286,0.16205229349090516,0.06548431105047749,0.029905505707848334
"SGBJUN30","IN0020220045",5091,"6/29/2030",7.2729447732115675,"June29","December29",2.5,63.6375,14,890.925,718.8538544072546,6582.853854407254,5500,10.702857142857143,0.1644961104038909,0.06207366984993179,0.028661738177309104
"SGBAUG30","IN0020220078",5197,"8/30/2030",7.442807786973617,"March2","August30",2.5,64.9625,14,909.475,733.8211513169325,6597.821151316933,5510,16.41142857142857,0.16487581678381844,0.060368349249658934,0.02812642144501587
"SGBDE30III","IN0020220110",5409,"12/27/2030",7.768835184075343,"June27","December27",2.5,67.6125,16,1081.8,849.2875107326682,6713.287510732668,5570,42.568571428571424,0.17030218189000118,0.05013642564802183,0.028821319603277384
